entity_id,acn,abn,entity_kind,created_at,arbn
3939,004028077,,company,2026-08-18 03:38:17.304061+00,
3940,650470947,,company,2026-08-18 03:38:17.304061+00,
3941,627364014,,company,2026-08-18 03:38:17.304061+00,
3942,098674545,,company,2026-08-18 03:38:17.304061+00,
3943,086399144,,company,2026-08-18 03:38:17.304061+00,
3944,659846901,,company,2026-08-18 03:38:17.304061+00,
3945,106719868,,company,2026-08-18 03:38:17.304061+00,
3946,094551336,,company,2026-08-18 03:38:17.304061+00,
3947,052468569,,company,2026-08-18 03:38:17.304061+00,
3948,116825793,,company,2026-08-18 03:38:17.304061+00,
3949,084464193,,company,2026-08-18 03:38:17.304061+00,
3950,054800378,,company,2026-08-18 03:38:17.304061+00,
3951,164122785,,company,2026-08-18 03:38:17.304061+00,
3952,074728019,,company,2026-08-18 03:38:17.304061+00,
3953,685311577,,company,2026-08-18 03:38:17.304061+00,
